Tm,Ax,Ay,Az
6626,-451,-623,12140
6631,-461,-595,12143
6634,-437,-655,12191
6637,-421,-578,12149
6639,-488,-609,12107
6642,-452,-618,12138
6645,-508,-572,12122
6647,-398,-667,12106
6650,-490,-576,12120
6653,-478,-617,12116
6656,-465,-622,12145
6659,-444,-675,12145
6662,-473,-545,12140
6664,-442,-602,12130
6667,-474,-641,12117
6670,-467,-622,12108
6672,-447,-604,12148
6675,-416,-547,12067
6678,-463,-619,12091
6680,-415,-618,12159
6683,-472,-634,12205
6686,-443,-624,12174
6688,-475,-605,12138
6694,-388,-587,12043
6697,-506,-596,12061
6700,-400,-583,12120
6703,-453,-616,12133
6706,-441,-628,12092
6708,-437,-602,12170
6711,-443,-648,12132
6714,-453,-637,12070
6716,-381,-656,12056
6719,-445,-613,12117
6722,-461,-576,12157
6724,-425,-617,12134
6727,-472,-596,12076
6730,-445,-609,12133
6732,-439,-605,12091
6735,-490,-617,12125
6738,-429,-589,12164
6740,-450,-621,12087
6744,-498,-631,12121
6747,-452,-602,12123
6749,-412,-627,12131
6752,-409,-611,12138
6755,-446,-566,12079
6760,-462,-688,12171
6763,-386,-623,12112
6766,-364,-604,12122
6768,-410,-678,12106
6771,-453,-589,12163
6774,-463,-639,12102
6776,-445,-653,12154
6779,-424,-614,12115
6782,-431,-647,12164
6785,-380,-615,12130
6788,-438,-699,12159
6791,-468,-635,12167
6793,-417,-663,12206
6796,-455,-670,12087
6799,-438,-616,12142
6801,-465,-576,12042
6804,-426,-640,12140
6807,-477,-622,12165
6809,-428,-596,12155
6812,-516,-584,12147
6815,-451,-597,12173
6817,-416,-611,12153
6820,-405,-643,12150
6823,-470,-658,12148
6829,-415,-557,12134
6832,-498,-675,12155
6835,-436,-548,12121
6837,-414,-621,12136
6840,-448,-578,12128
6843,-434,-637,12146
6845,-501,-550,12153
6848,-453,-616,12079
6851,-442,-629,12134
6853,-389,-569,12104
6856,-410,-633,12169
6859,-445,-613,12160
6861,-459,-619,12089
6864,-513,-585,12183
6867,-459,-654,12153
6870,-458,-619,12079
6873,-451,-617,12056
6876,-463,-592,12113
6879,-370,-594,12143
6881,-413,-586,12123
6884,-468,-617,12137
6887,-492,-595,12111
6889,-470,-631,12221
6895,-427,-641,12117
6897,-389,-644,12175
6900,-440,-593,12146
6903,-471,-603,12164
6905,-501,-601,12114
6908,-436,-555,12141
6912,-431,-695,12099
6914,-420,-636,12105
6917,-371,-602,12072
6920,-451,-604,12065
6922,-470,-545,12180
6925,-420,-567,12173
6928,-407,-601,12151
6930,-482,-664,12124
6933,-448,-668,12098
6936,-444,-622,12129
6938,-441,-644,12141
6941,-382,-560,12123
6944,-399,-630,12105
6946,-431,-612,12135
6949,-445,-586,12139
6952,-432,-547,12092
6955,-483,-637,12196
6961,-440,-633,12171
6964,-471,-637,12204
6966,-408,-557,12123
6969,-479,-604,12166
6972,-403,-592,12150
6974,-504,-615,12135
6977,-476,-586,12146
6980,-472,-608,12127
6982,-476,-625,12123
6985,-421,-628,12184
6988,-406,-621,12155
6990,-440,-557,12180
6993,-480,-595,12130
6996,-414,-597,12142
6999,-428,-626,12145
7002,-382,-507,12151
7005,-440,-648,12103
7007,-450,-594,12167
7010,-457,-620,12078
7013,-458,-609,12088
7015,-397,-614,12065
7018,-413,-610,12150
7021,-389,-543,12136
7023,-432,-643,12104
7029,-483,-597,12161
7032,-404,-572,12123
