Tm,Ax,Ay,Az
Tm,Ax,Ay,Az
11607,-1826,-1383,7094
11612,-735,2512,14938
11614,-63,-1202,5792
11617,-633,-1368,11371
11620,-391,-483,3854
11622,696,-3277,17835
11625,1082,-842,20089
11628,-1123,1124,5745
11631,-2166,-2131,13571
11633,-84,474,8551
11636,161,-1723,6956
11639,-862,-1739,23647
11641,1176,-540,12424
11644,-839,-1347,11750
11648,-129,834,8422
11650,-899,-2218,2001
11653,-1629,1194,14252
11656,530,659,16426
11659,-1724,-1209,14584
11661,-773,2384,15530
11664,107,-981,6520
11667,-775,-1629,10335
11672,358,-3626,16957
11675,893,701,19759
11678,-956,1145,5007
11680,-1810,1193,16883
11683,-222,-18,8832
11686,362,-1622,7042
11688,-355,-1821,23189
11692,675,137,12716
11695,-1052,499,6518
11697,138,27,12698
11700,-656,-702,2869
11703,-919,-2434,18475
11705,1165,721,17395
11708,-1245,-2488,12454
11711,-701,683,17826
11714,244,921,7720
11716,-1651,-1827,7339
11719,-98,-1321,23440
11722,1344,-1266,12823
11724,-625,161,14125
11727,-250,895,6923
11730,-980,-2472,3805
11732,-885,1052,12604
11739,-882,-2366,21104
11742,-150,731,12923
11744,1014,-299,5882
11747,25,-338,12751
11750,-34,-592,3974
11752,681,-3212,17580
11755,1132,-776,20340
11758,-1117,1296,5733
11760,-2121,-1843,14628
11763,-81,521,8798
11766,64,-1641,7152
11769,-601,-1527,24604
11771,1115,-677,12514
11774,-900,935,7121
11778,316,363,12097
11780,-697,-1268,670
11783,-1528,-1470,18169
11786,333,685,15674
11788,-1566,-1307,14445
11791,-322,1560,17597
11794,395,712,7315
11796,-1523,-1887,8028
11802,657,-3512,16862
11805,793,-1004,19526
11807,-977,1190,5099
11810,-1779,-2276,12740
11813,-323,127,8920
11816,-1192,-1523,7037
11819,-336,-1851,23971
11822,789,-1234,12566
11825,-918,1050,10969
11828,20,775,9507
11830,-636,-3005,1688
11833,-1408,897,15997
11835,720,745,17225
11838,-1707,-707,12822
11841,-719,880,17811
11844,241,960,7444
11846,-1718,-1818,7460
11849,-69,1630,17008
11852,1279,-2638,13030
11854,-535,-94,14053
11857,-215,839,6453
11860,-900,-2550,4421
11863,-777,962,12359
11869,-1509,-1067,21784
11871,-959,2210,14506
11874,-563,-1412,5263
11877,-577,-1008,12943
11880,-551,-753,2938
11882,-426,-3183,17791
11885,1115,767,18306
11888,-1149,-2610,10710
11891,-1305,209,17849
11893,-69,687,8252
11896,-1898,-1696,7117
11899,-225,2007,19119
11901,1248,-2180,12638
11905,-779,563,12659
11908,-205,762,7750
11910,-979,-2140,2860
11913,-1283,1223,14215
11916,337,-351,10259
11918,-2151,-2358,20435
11921,-719,2365,15117
11924,-82,-1745,5325
11927,-648,-553,12748
11932,-1687,-636,17377
11935,1153,186,19382
11938,-1674,374,9258
11940,-1642,-1391,17083
11943,573,318,6967
11947,-1295,-1804,8620
11950,-69,-864,20628
11952,955,-1716,12498
11955,-719,-622,16675
11958,-632,766,5385
11960,-1343,-2470,7138
11963,-6,-242,10719
11966,-190,-105,11445
11968,-1249,-2211,18925
11971,-658,1462,13534
11974,-908,-1017,5586
11977,-290,-849,12401
11979,-532,-1082,1784
11982,-1199,-1489,17837
11985,1195,780,16452
11987,-1410,-2547,14322
11991,-404,1274,17439
11994,442,588,7713
11999,-216,-291,15428
