Ax,Ay,Az
2439,-3828,16202
-1795,5417,-1358
461,-7926,-852
-3255,9745,4229
4343,-11832,12871
-2054,13016,-51
1433,-10495,-2098
-2975,9075,18072
1854,-4430,-12631
-2152,2549,6930
2979,-5223,733
-3218,7955,16026
-410,-5258,-11738
1231,-1159,20740
-812,4301,1714
80,-5080,13086
1450,-10429,-8295
391,9302,17201
-2115,-4687,-2906
3525,184,771
-3488,1058,2648
3933,2422,13846
-1758,-3948,-1323
1224,-36,19055
-3444,4276,-4444
2184,-8550,5516
-2624,9579,-5828
3082,-9229,16223
-3136,7113,-1036
-97,-7881,1836
-4090,8540,16466
3022,-8291,6271
-3113,10051,-1783
1859,-10625,1669
-2117,9462,16091
1528,-5375,-12779
-740,930,16214
1396,-265,-1633
-3776,3912,13059
2028,-5280,-11317
1810,874,19913
-1707,3658,-5859
2714,-8192,6672
-1063,8825,-6023
460,-8056,16793
-505,-6806,-2385
3155,297,3688
-4212,2781,15170
3069,-2964,7266
-2996,-112,-2875
1612,-462,2924
-2255,3549,-5821
2065,-6895,3896
-851,10292,-50
2025,-11526,15209
-3875,11491,-3663
2218,-9131,2548
1708,9321,14414
-1411,-6504,-10467
-3307,6219,3852
3129,-8754,4454
-2717,10199,13610
711,-7486,-11291
254,1073,22559
300,1916,288
-1173,-1791,11509
2597,-1501,-7598
265,757,19395
-2018,2862,-7212
2363,-6431,5530
-3746,10170,-1322
2218,-10975,15749
-1004,10536,-4817
928,2761,4325
-4253,2363,12941
3137,-7113,-9249
-3642,6940,2740
3164,-5223,5737
-2426,4203,12604
1125,-6492,7313
-145,8732,12368
547,-9494,9242
-1511,10640,-4845
2884,-10192,5613
152,9318,12182
3021,-7117,-11079
-1146,3559,14986
3325,-4521,2052
-3827,8143,10148
2409,-8513,-10483
1209,3622,21377
-773,1732,-9739
1660,-6498,8995
527,5870,-5818
-1055,-3795,17849
-836,3244,-6216
2773,2741,9010
-3871,97,11132
3023,558,10091
-2378,-4025,-5624
875,3020,7024
-2395,1482,10726
3433,-5411,-10186
-1373,9562,-3367
3802,-9402,16398
-3743,8372,-6883
2414,-7176,7623
840,8654,9777
-500,-8072,-6728
1283,9207,545
1035,-11312,8248
-1832,11128,10441
1894,-8817,-9495
-1039,3596,22808
1109,-894,429
-2130,1912,8565
3226,-5293,-6137
-162,4164,20309
-1734,795,-10502
1108,-4833,10050
-3286,8979,-4061
168,-8321,16497
-240,6978,-7831
1007,-6373,9313
-4234,8243,8107
3713,-4815,-5265
-3930,3351,-471
2940,-632,9444
-1512,1090,9215
2245,-4996,-8515
-1545,8003,22546
1420,-9351,11701
-2400,9404,-6931
3218,-8689,9754
-433,8223,7521
-1507,-8119,-8087
769,6225,11909
-2898,-8244,6400
-559,11309,6623
2286,-10329,-8383
-144,6212,21378
146,-394,-12220
354,-3772,9648
1803,2058,-4314
-2365,979,17901
-1077,39,-9220
2296,-4426,14091
-2913,7588,6987
2331,-9062,12289
-1236,8700,-7425
483,-8009,11087
-2325,7798,5874
4185,-8286,-6883
-2084,7331,10549
4758,-5680,7843
-3080,3973,5382
2195,-4733,-7364
-710,7263,21074
449,-8982,-12749
-194,10710,9331
2155,-12109,11793
-2627,10411,6406
-1115,-9145,-6098
2087,6009,21485
-2487,-3945,1892
1915,5628,4695
-653,-8288,-3781
426,7104,19855
-917,-1498,-12573
147,-2859,13754
-1968,6324,-4891
-1864,-4210,16000
648,2408,-10003
1449,-3818,14142
-3468,6721,2611
3814,-9073,-363
-3373,10902,-3449
2308,-12022,12832
-684,-2187,4994
3023,-3223,-4700
-3001,6500,20736
2202,-7890,2561
-2965,6557,3356
2945,-6108,-2830
-1223,6623,19403
-523,-8324,-4003
-101,8582,7511
-1321,-11039,10579
-2436,13000,2684
951,-10915,-4972
1603,8241,19895
-3146,-2799,-13100
3701,-79,8458
2685,-2418,-1510
-3082,5612,17087
-927,-3265,-11233
1691,-2501,18542
-1621,5847,3355
1077,-7016,13295
425,5303,-8262
390,-5038,15021
-2151,6044,397
4058,-8132,-2470
-2949,9200,5910
4659,-11447,11808
-2305,13005,1256
1640,-10649,-3485
-2470,5514,18956
1485,-8988,-12919
-1718,10569,7700
2884,-10996,-357
-3210,8595,16495
-693,-8548,-11566
1442,7888,19763
-1180,-6885,4444
560,8745,580
974,-10153,-569
383,8964,17883
-2107,-3969,-13141
3842,-600,15826
-3281,2380,-3420
-3304,887,14417
1547,-2570,-11189
1810,-970,18032
-2379,4852,-2825
3313,-8818,4353
-2039,10148,-5462
1283,-10177,15581
-341,7865,384
3282,-8196,217
-3957,8237,17593
2873,-7591,5394
-3120,9457,-608
2140,-10401,582
-1979,9269,16997
999,-7616,-12994
-621,10031,16119
737,-11930,-2642
-3587,12640,13762
1803,-10090,-11284
1866,9258,19037
-2054,-5157,-4350
3037,3888,5902
-1505,-6510,2029
874,8930,15201
-373,-6062,-11737
3240,-409,21409
-4114,3582,995
2986,-4014,12593
-3070,1127,-8111
371,-1555,17988
-2107,4112,-4524
3153,-7257,2422
-3618,10243,1191
3445,-11783,14577
-1518,12089,-2590
1065,-9596,1097
-3774,9316,15595
2573,-5882,-11219
-3005,5153,4888
3138,-7741,3259
-2937,6086,14437
329,-7386,-11534
606,8685,22122
-62,-8849,614
-776,10422,12084
2305,-10535,-7812
335,9475,18799
-2028,-6029,-12210
2740,1927,15921
-3721,-1823,-351
2809,5536,12028
-1264,-6546,-11084
960,1921,20502
-4068,2972,-7387
2859,-7591,7630
-449,7859,-6058
-127,-6566,17224
-594,5129,-3876
3019,-6882,5637
-4153,8764,13593
3070,-9207,8360
-2810,10644,-4013
1311,-10425,4438
-2375,9441,13390
2605,-6677,-11685
-1005,2751,15406
2822,-3328,965
-3819,6990,11008
2298,-7707,-10792
1462,9101,21026
-1031,-7160,-8651
1998,7452,8445
62,-9847,-5969
-587,10652,17617
-676,-8070,-5101
2848,1994,22768
-4048,910,280
3073,-471,10481
-2569,-2929,-7074
1045,2024,19802
-2414,2111,-8460
3065,-5846,7241
-1158,9916,-2531
3351,-10132,16086
-720,9416,-5945
923,-7733,6137
-4327,8948,11203
3368,-7589,-7935
-3753,8411,1572
3113,-10590,6990
-2122,10909,11475
1538,-8489,-10174
-608,2798,22784
853,4,229
-1853,725,9509
3086,-4176,-6600
-5,3142,20079
-1804,-7564,-9542
1483,4496,8760
-3516,-6050,-3390
753,9478,16388
-446,-9389,-6951
934,4644,7887
-4292,914,9579
3588,-5545,9416
-3859,4460,-5333
3004,-1992,17961
-1785,2033,-7363
1949,-5402,10943
-1077,8238,9485
1156,-9522,11052
-1968,9988,-6403
641,-9188,8580
-2426,8623,8896
3824,-7868,-9038
-1618,5490,12975
4232,-7237,5086
-3491,10530,7650
2363,-9958,-9053
343,5577,21468
-181,250,-11613
749,9965,9666
1517,-11835,-4900
-2028,11000,17948
-1061,-9066,-8442
2436,4528,12700
-3245,-2025,8071
2584,3284,11756
-1568,-6547,-6993
562,5312,9905
-2352,-61,-11370
4066,-4144,11594
-1836,8095,-4559
4570,-6914,16443
-3310,5298,-8699
2331,-5420,11159
-188,7675,6054
140,-8766,-3390
286,10453,-1647
2714,-12095,10758
-1116,10729,7652
2588,-9157,-7215
-2090,5305,21982
1662,-2995,1276
-2650,4541,5943
3208,-7464,-4528
-744,6365,20031
-1219,-821,-12086
368,-3423,12844
-2390,7173,-4886
-1356,-5417,16273
387,3702,-9468
1294,-4561,12843
-3713,7163,4171
3800,-2365,-1667
-3595,257,-2750
2497,2938,11997
-864,-1350,6125
2883,-3694,-5802
-2626,6921,21303
1982,-8347,2061
-2846,7410,-7868
3086,-6870,12743
-1029,7084,3671
-834,-8348,-5162
54,7970,8851
-1836,-10363,9457
-1931,12690,3749
2017,-10857,-5971
-1377,7818,20379
790,-2116,-13000
-768,-1162,8926
2481,-1124,-2409
-2947,4393,17336
-1019,-2368,-10787
1886,-3077,17408
-1983,6356,4226
1418,-7667,13115
-34,6312,-8096
418,-5885,13977
-2162,6502,1921
4200,-8225,-3687
-2704,4881,7242
4793,-2254,10743
-2496,403,2466
1802,-2755,-4677
-1968,6005,19655
1150,-9011,-12997
-1235,10776,-4254
2669,-11493,13995
-3158,9198,3196
-914,-8758,-2888
1665,7397,19609
-1558,-6062,3648
969,7917,1732
527,-9705,-1593
416,8511,18532
29,-3252,-13067
-352,-1262,15330
-542,3598,-3992
-2987,-618,14922
1266,-1182,-10930
1738,-1835,17003
-2699,5374,-1246
3456,-8941,2926
-2455,10414,-4876
1637,-10835,14845
-453,-4388,1720
3235,-1752,-1216
-3715,4950,18542
2689,-5967,4529
-3100,3708,475
2390,-3699,-435
-1779,5235,17774
524,-7835,-13037
-533,9734,15918
149,-11834,13028
-3334,12913,-230
1549,-10316,-1727
1829,9112,17715
-2340,-4524,-12418
3228,2851,6626
-1952,-5424,979
1212,8178,15724
-392,-5351,-11692
1123,-1012,20719
-735,4175,1473
4,-4874,12892
1531,2233,-8182
382,-2500,17252
-2066,4574,-3238
3443,-7523,1146
-3493,10047,2408
3819,-11888,13941
-1689,12432,-1552
1224,-9948,-118
-3467,9188,16556
2267,-5312,-11797
-2640,4080,5699
3070,-8896,2323
-3093,6766,15012
-14,-7704,-11615
835,8516,21528
-324,-8353,1039
-507,10038,12441
1975,-10466,2085
380,9413,15637
-2089,-5495,-12553
3037,1235,15943
-3609,-607,-1245
3299,4256,12670
-1462,-5490,-11205
1035,1110,19885
-3808,3496,-6126
2633,-7956,6765
-895,8535,-5945
318,-7629,16784
-492,5904,-2717
3085,-7297,4150
-4161,8670,14684
3076,-8870,7558
-2914,10429,-3109
1525,-10511,3311
-2275,9447,14490
2181,-6148,-12067
-891,2018,15785
2276,-2138,-69
-3871,11098,11822
2203,-8877,-11008
1660,9216,20574
-1364,-6616,-7555
2321,6584,7911
-360,-9063,-6047
-202,10339,17267
-598,-7590,-11111
2984,1303,22484
-4140,1690,311
3086,-1512,11190
-2774,-1824,-7424
1261,1053,19355
-2345,2671,-7435
2264,-6233,5959
-3729,10116,-1663
2089,-10765,15743
-968,10260,-5027
898,-8290,4689
-4238,9091,12495
3160,-7161,-8916
-3627,7567,2500
3127,-9932,6002
-2307,10690,12306
1206,-8091,-10614
-225,8634,22694
655,-9490,225
-1610,10525,10297
2952,-10043,-6937
164,9135,19779
-1913,-7205,-8635
1785,3794,7537
-3607,-4906,-2610
1338,8459,9720
-696,-8706,-10145
894,3953,21310
-4266,1482,-9935
3411,-6151,9144
-3800,5419,-5628
3092,-3172,17787
-2022,2815,-6522
1637,-5792,9637
-749,8460,10458
936,-9517,10394
-2234,10271,-5880
775,-9510,7476
-2439,8860,10085
3599,-7616,-9762
-1387,4761,13703
3943,-6270,4052
-3621,9701,8538
2383,-9470,-9592
712,4830,21422
-357,759,-10956
1093,-5321,9462
1152,4138,-5204
-1708,-1637,17899
-1010,-8874,-7610
2540,3821,11378
-3463,-1226,9164
2737,2313,11181
-1903,-5620,-6469
673,4501,8894
-2358,523,-10627
3822,-4570,10493
-1611,8640,-4144
4314,-7833,16435
-3441,6507,-8024
2334,-6093,9851
219,8075,7439
-112,-8502,-4743
-3832,9974,-856
2797,-11729,9770
-1378,10849,8673
2338,-9033,-8080
-1698,4649,22275
1469,-2199,947
-2452,3586,6885
3225,-6679,-5111
-514,5527,20138
-1416,-181,-11475
631,-3947,11802
-2792,7881,-4624
-796,-6536,16360
136,4954,-8791
1175,6485,11543
-3903,-718,5683
3789,-3326,-3041
-3775,1464,-1868
2706,1555,10983
-1066,-403,7376
2701,-4197,14631
-2159,7355,6502
1746,-8827,12454
-2678,8306,-7505
3169,-7575,11583
-765,7509,5147
-1143,-8251,-6260
313,7364,10001
-2268,-9671,8365
-2955,12282,4822
2121,-10740,-6931
-912,7255,20755
563,-1474,-12798
-323,-2163,9226
2268,27,-3139
-2768,3163,17539
-1064,-1485,-10207
2045,-3567,16134
-2349,6817,5249
1759,5989,12829
-458,-8550,-7845
436,7316,12922
-2190,-1803,3341
4244,-2586,-4877
-2409,5796,8546
4813,-3586,9694
-2700,1735,3559
1970,-3465,14565
-1502,6429,2053
911,-9002,183
-777,10794,-3626
2525,-11834,13182
-2979,9684,4367
-988,-8970,-4026
1833,6935,20261
-1886,-5292,2924
1321,7129,2811
99,-9231,-2406
-1334,8068,19026
-365,-2555,-12954
-168,-1835,14889
-1080,4614,-4430
-2630,-1913,15313
1004,62,-10625
1648,-2497,15962
-2937,5867,138
3618,-9011,1841
-2780,10667,-4413
1917,-11349,14094
-457,9039,2872
3186,-8702,-2515
-3442,5508,19351
2480,-6720,3755
-3069,4808,1577
2630,-4663,-1308
-1602,5750,18363
87,-8029,-13024
-391,9271,15431
-418,-11547,12102
-3002,12959,890
1333,-10612,-2981
1757,8783,18583
-2605,-3811,-12690
3414,1681,7405
-2390,-4199,-38
-3163,7197,16250
-635,-4522,-11555
1403,-1637,19826
-1074,4877,2151
420,-5741,13125
1111,3520,-8235
409,-3546,16319
-2118,5185,-1751
3732,-7788,-386
-3273,9717,3857
4223,-11755,13032
-1998,12766,-373
1367,-10286,-1576
-3079,9042,17586
1928,-8660,-12270
-2274,9873,6593
2967,-9857,1129
-3142,7509,15656
-306,-8056,-11578
1127,8296,20812
-640,-7807,5696
-40,9571,-980
1592,-10357,981
398,9261,16538
-2055,-4861,-12773
3374,467,15981
-3487,585,-2151
3720,2963,13336
-1634,-4388,-11169
1824,283,19124
-1923,4019,-4838
2900,-8296,5876
-1384,9225,-5775
765,-8671,16280
-410,6665,-1533
3144,-7620,2593
-4130,8523,15767
3011,-8400,6736
-2998,601,-2222
1729,-1126,2259
-2150,3856,15457
1739,-7024,-12434
-794,10186,15909
1684,-11602,-1080
-3781,11707,12562
2070,-9330,-11097
1786,9221,20037
-1562,-6082,-10749
2577,5544,4553
-817,-8031,3637
277,9809,14138
-517,-6989,-11378
3051,616,22072
-4144,2449,402
3076,-2529,11838
-2903,-641,-7653
323,33,18816
-2041,3246,-6265
2629,-6612,4575
-3743,10227,-591
2620,-11236,15296
-1163,11053,-4040
931,-8799,3300
-4080,9189,13705
2936,-6675,-9801
-3422,6677,3461
3130,-9120,4945
-2599,10349,13140
833,-7618,-10992
127,1403,22456
379,1523,275
-1246,10515,11032
2695,-10260,-7263
221,9277,19354
-1958,-6751,-7566
2154,2993,6158
-3675,-3690,-1708
1929,7336,15780
-926,-7925,-10531
850,3073,20987
-4245,2053,-8928
3177,-6779,8575
-3641,6394,-5851
3131,-4604,17514
-2317,3745,-5453
2755,-6223,7994
-3966,8553,11668
3028,-9473,9609
-2463,10493,-5110
968,-9929,6259
-2432,9072,11420
3229,-7241,-10461
-1250,3972,14487
3513,-5058,2861
-3711,8656,9535
2400,-8784,-10059
1048,4051,21307
-612,1405,-9994
1456,-6002,9125
767,-10772,-5493
-1271,10910,17756
-874,-8581,-6650
2631,3145,9869
-3749,-412,10286
2868,1225,10470
-2185,-4597,-5880
774,3544,20021
-2418,1163,-9862
3592,-5087,9255
-1441,9205,-3609
3949,-8794,16278
-3597,7608,-7218
2355,-6709,8328
660,8366,8916
3638,-8200,-5911
-3889,9503,70
2930,-11486,8734
-1640,10945,9791
2071,-8876,-8945
-1246,3885,22503
1217,-1316,548
601,6449,11358
-2754,-8580,6887
-801,11504,6124
121,-10425,-7878
1153,6494,21082
-3893,-747,-12270
169,-3323,9533
1974,1396,-3927
-2411,1589,17754
-1120,-393,-9382
2211,-4169,14636
-2707,7321,6454
2143,-8772,12428
-996,8251,-7430
466,-7553,11560
-2277,7490,5209
4216,-8228,-6271
-2128,7237,10109
4759,-9543,8241
-2999,12164,4946
2122,-4404,-6881
-842,7055,20721
514,-8853,-12687
-268,10729,9286
2220,-12048,-3214
-2724,10245,17513
-1105,-9044,-10104
2046,6107,21116
-2400,-4139,2003
1801,5848,4387
-535,-8402,-3478
419,7221,19578
-2200,-1685,-12484
4228,-2684,13790
-1785,5960,-4702
-1968,-3808,15830
673,1968,-9987
1457,-3617,14345
-3351,6499,2276
3721,-8993,-53
-3209,10733,-3487
2226,-11792,12995
-689,9696,4657
3079,-8984,-4300
-2991,6759,20446
2195,-5096,2795
-2914,6879,3130
2862,-5838,-2567
-1271,6459,19156
-479,-8197,-12814
-141,8640,14674
-1232,-10948,-4486
-2494,12883,15402
992,-10740,-10448
1638,8329,15652
-3013,-2904,-12927
3618,137,8302
-2934,-2539,-1394
1950,5730,16846
-518,-3374,-11129
3194,-2439,18486
-3389,5656,3196
1011,-6873,13184
505,5036,-8126
387,-4871,15055
-2108,5851,283
4048,-8054,-2118
-3016,9178,5633
4613,-11514,11902
-2232,12934,1187
1568,-10619,-3264
-2496,8630,18773
1544,-3677,-12722
-1726,1370,7599
2825,-3970,-225
-3158,6934,16369
-654,-8461,-11397
1399,7811,19610
-1154,-6824,2411
498,8713,13099
1014,-10025,-8134
395,8931,16135
-2089,-3960,-1450
3751,-455,15621
-3210,2294,-3198
4239,994,14155
1520,-2647,-11022
1784,-846,17982
-2327,4748,-2940
3189,-8620,4390
-2011,9946,-5363
1222,-9979,15524
-383,7679,176
3224,-8074,575
-3931,8204,17198
2824,-7705,5527
-3069,9458,-818
2060,-10409,804
-1958,9227,16692
1099,-4798,-12754
-642,9986,16005
900,-11827,-2268
-3588,12357,13487
1834,-9857,-11113
1815,9129,19032
-1954,-5240,-4547
2930,4098,5811
-1435,-6682,-5695
773,8962,14932
-419,-6156,-11530
3185,-231,21377
-4055,3377,963
2957,-3718,12433
-2974,889,-7937
1763,-1286,18005
-2054,3928,-4704
