Ax,Ay,Az
5572,4763,4391
-6543,6616,-3991
2425,4432,14597
3825,-11878,824
-7133,9779,-1581
4518,254,14872
1858,-10033,-2515
-6572,11812,1585
5988,-4000,3277
-544,-6971,13057
-5223,12484,-5865
6863,-7708,6802
-3005,-3331,10564
-3467,11661,-6544
7039,-10576,10014
6766,867,7470
-5458,9532,-6088
-14,-12100,12717
5552,4910,4070
-6644,6289,-4347
2469,-12256,14432
3879,8412,699
-7128,2275,-1588
4522,-11102,15030
1908,10942,-2305
-6588,-1652,1937
5972,-8529,14322
-490,12179,-4543
-5240,12388,5522
6874,-7701,12477
-2895,-3334,-5794
-3447,11695,8957
7074,-10533,9643
-4852,822,-5976
-1237,9608,11858
6334,-12064,13021
-6114,4879,4282
1242,6546,-4178
4723,-12193,14367
-6963,8242,670
3529,2377,-1688
2842,-11067,14749
-6963,10933,-2612
-6532,-1944,1526
5947,-8618,13877
-552,12304,-5016
-5251,-5947,5034
6866,-5180,11968
-2992,12263,-6395
-3444,-9269,8551
7064,-1131,9153
-4756,10674,-6408
-1292,-11512,11565
6252,2925,5876
-6121,7992,-5256
1287,-12346,13821
4724,-12265,2434
-6991,8493,-3057
3615,2319,14949
2917,-11098,-819
-6955,10968,140
5391,-1754,14771
733,-8539,-3577
-5922,12221,3765
6508,-5958,5563
-1752,-5183,12436
-4307,12274,-5867
7048,-9290,8991
-4034,-1167,9525
-2337,10807,-6039
6801,-11481,11782
6297,2832,6010
-6107,8069,-5055
1238,-12316,13779
4708,6725,2327
-6972,4356,-3105
3614,-11833,14678
2855,9853,-1177
-6994,111,-192
5369,-9952,14375
660,11845,-4031
-5914,-4085,3238
6489,-6904,12912
-1811,12397,-5905
-4347,-7830,6895
7109,-9377,10661
-4025,-1106,-6483
-2424,10752,10229
6810,-11514,11694
-5514,3013,5973
-12,7969,-5107
5594,-12327,13957
-6646,6808,2462
2458,4270,-2828
3872,-11778,15134
2921,9809,-754
-6975,177,274
5333,-9945,14891
755,11783,-3463
-5934,-3960,3703
6489,-7058,13510
-1721,12516,-5358
-4357,-7642,7207
7079,-3307,11039
-3981,11758,-6192
-2391,-10412,10325
6773,823,7666
-5474,9501,-5812
-37,-11996,12761
5550,4853,4035
-6637,6715,-4385
2451,4384,14237
3886,-11797,479
-7163,9806,-1859
4497,186,14631
1860,-9865,-2716
-6528,11764,-3995
5956,-4018,3229
-490,-7032,13121
-5261,12446,-5723
6815,-7678,6854
-2912,-3310,10908
-3484,11714,-6330
7092,-10377,10265
6786,764,7815
-5444,9526,-5668
-56,-12015,12982
5630,4802,4445
-6613,6353,-4057
2448,-12226,14713
3931,8311,986
-7040,2438,-1413
4546,-11071,15108
1903,10899,-2155
-6579,-1737,1837
5949,-8575,14273
-440,12220,-4622
-5238,-5796,5313
6812,-7596,12247
-2870,-3339,-6073
-3442,11769,8589
7052,-10431,9361
-4802,610,-6257
-1271,9652,11435
6263,-12040,5893
-6076,4754,4061
1152,6335,-4497
4778,-12212,14208
-6987,8333,552
3502,2395,-1890
2956,-11117,14706
-6964,10941,-2539
5293,-1640,1606
5927,-8532,14037
-473,12187,-4776
-5232,-5888,5225
6852,-5263,12263
-2924,12260,-6018
-3406,-9237,8799
7056,-1265,9603
-4762,10835,-6037
-1259,-11437,11825
6344,2853,6223
-6092,8169,-4969
1186,-12376,13924
4821,6608,2700
-6932,4492,-2901
3543,2623,14942
2904,-11073,-750
-6933,10841,56
5296,-1771,1662
738,-8689,14129
-5970,12229,-4754
6440,-5819,5154
-1718,-5274,12170
-4400,12310,-6179
7071,-9200,8513
-3961,-1299,9317
-4793,10832,-6385
-1327,-11318,11482
6208,2801,5816
-6070,8002,-5273
1161,-12275,13621
4757,6630,2351
-7011,4426,-3204
3548,-11830,14718
2972,9681,-934
-6960,303,-153
5244,-10051,14656
823,11763,-3646
-5990,-3909,3410
6439,-7122,13256
-1641,-5135,-5530
-4335,12173,7126
7096,-9227,11083
-3945,-1341,-6140
-2492,10824,10331
6834,-11380,7996
-5458,2756,-5685
-118,8156,-5075
5629,-12274,13865
-6588,6546,2630
2373,4691,-2977
3962,-11679,14827
-7033,9589,-815
4456,336,-133
1906,-10035,14637
860,11650,-3680
-6007,-3755,3237
6400,-7185,13262
-1699,12422,-5635
-4462,-7590,6791
7058,-3380,10913
-3925,11754,-6433
-2506,-10473,10045
6845,777,7694
-5471,9576,-5982
-151,-12033,12765
5608,4753,4240
-6595,6359,-4335
2381,-12254,14393
3963,-11867,803
-7134,9679,-1750
4479,514,14857
2014,-10145,-2187
-6577,11598,1586
5889,-3749,14257
-371,-7208,-4536
-5305,12419,-5407
6822,-7518,6931
-2823,-3472,11120
-3551,11787,-6204
7078,-10431,10239
-4750,635,7928
-1344,9570,-5775
-126,-11906,12887
5626,4647,4382
-6601,6419,-4263
2332,-12257,14428
3964,8166,886
-7115,2592,-1796
4416,-11195,14852
2002,10822,-2303
-6621,-1666,1410
5848,-8797,14111
-362,12204,-4740
-5334,-5680,4962
6791,-5452,12167
-2857,12148,-6099
-3504,-8967,8431
7047,-10332,9504
-4704,526,-6263
-1408,9704,11425
6356,-11948,6216
-6023,4544,-5282
1019,6538,-4376
4884,-12263,14397
-6919,8117,991
3429,2638,-1845
3085,-11200,14928
2072,10762,-2206
-6636,-1541,1508
5908,-8712,14276
-328,12170,-4589
-5343,-5646,5106
6801,-5442,12425
-2742,12308,-5928
-3547,-9037,8540
7078,-1539,9697
-4685,10936,-6153
